campaign_id,campaign_name,start_date,end_date,discount_pct
CPG001,Diverse fresh-thinking projection,2024-10-30,2025-04-20,10
CPG002,Business-focused eco-centric installation,2024-01-10,2025-04-20,25
CPG003,Future-proofed intangible support,2023-01-29,2025-04-20,25
CPG004,Synergized multi-state parallelism,2025-02-13,2025-04-20,5
CPG005,Visionary exuding contingency,2023-01-06,2025-04-20,15
CPG006,Open-architected hybrid benchmark,2023-09-29,2025-04-20,5
CPG007,Face-to-face zero tolerance pricing structure,2024-08-31,2025-04-20,5
CPG008,Virtual bi-directional throughput,2022-10-10,2025-04-20,25
CPG009,Pre-emptive demand-driven collaboration,2022-08-27,2025-04-20,15
CPG010,Reduced content-based artificial intelligence,2023-09-11,2025-04-20,25
CPG011,Fundamental zero-defect customer loyalty,2022-08-18,2025-04-20,25
CPG012,Enterprise-wide discrete budgetary management,2023-09-03,2025-04-20,25
CPG013,Enhanced tertiary model,2023-09-11,2025-04-20,10
CPG014,Managed 6thgeneration attitude,2022-07-20,2025-04-20,20
CPG015,Streamlined executive matrices,2023-04-02,2025-04-20,20
CPG016,Vision-oriented 3rdgeneration secured line,2024-01-16,2025-04-20,25
CPG017,Re-engineered uniform approach,2022-11-15,2025-04-20,20
CPG018,Compatible user-facing forecast,2023-10-31,2025-04-20,5
CPG019,Cross-platform attitude-oriented Graphical User Interface,2023-09-04,2025-04-20,15
CPG020,Multi-channeled incremental open system,2024-12-25,2025-04-20,20
CPG021,User-friendly optimal hierarchy,2024-12-20,2025-04-20,15
CPG022,Exclusive modular adapter,2022-11-01,2025-04-20,20
CPG023,Total attitude-oriented product,2023-02-03,2025-04-20,20
CPG024,Business-focused scalable projection,2022-05-11,2025-04-20,5
CPG025,Cloned 6thgeneration firmware,2024-08-08,2025-04-20,10
CPG026,Proactive bottom-line framework,2024-01-09,2025-04-20,15
CPG027,De-engineered clear-thinking alliance,2024-08-24,2025-04-20,20
CPG028,Triple-buffered even-keeled instruction set,2023-06-16,2025-04-20,20
CPG029,Public-key global flexibility,2024-03-13,2025-04-20,5
CPG030,Total system-worthy algorithm,2023-07-30,2025-04-20,15
CPG031,Adaptive interactive interface,2023-05-14,2025-04-20,5
CPG032,Monitored neutral throughput,2022-10-24,2025-04-20,20
CPG033,Fundamental zero tolerance knowledge user,2022-08-20,2025-04-20,5
CPG034,Ergonomic solution-oriented forecast,2022-12-23,2025-04-20,20
CPG035,De-engineered scalable info-mediaries,2024-05-24,2025-04-20,20
CPG036,Integrated client-server focus group,2024-04-09,2025-04-20,25
CPG037,Down-sized next generation implementation,2024-12-13,2025-04-20,5
CPG038,Optional tangible hierarchy,2023-09-16,2025-04-20,15
CPG039,Cross-platform intangible architecture,2024-07-24,2025-04-20,20
CPG040,Persevering asynchronous toolset,2022-06-11,2025-04-20,20
CPG041,Sharable dynamic knowledge user,2023-06-02,2025-04-20,5
CPG042,Advanced reciprocal hub,2022-11-11,2025-04-20,20
CPG043,Networked neutral function,2025-03-03,2025-04-20,20
CPG044,Open-architected bandwidth-monitored project,2023-09-13,2025-04-20,5
CPG045,User-friendly grid-enabled hub,2024-01-16,2025-04-20,25
CPG046,Programmable asynchronous implementation,2022-04-21,2025-04-20,25
CPG047,Reactive incremental emulation,2025-03-30,2025-04-20,15
CPG048,Organic interactive algorithm,2022-06-01,2025-04-20,15
CPG049,Implemented static collaboration,2023-09-12,2025-04-20,25
CPG050,Reactive full-range neural-net,2024-12-16,2025-04-20,20
